Start_Index,Act_No,Title,Date_of_Royal_Assent,Publication_Date,Date_of_Commencement,PDF_URL
100,765,MALAYSIAN AIRLINE SYSTEM BERHAD (ADMINISTRATION) ACT 2015,30/12/2014,05/01/2015,20/02/2015,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20150105_AKTA 765_BI_MAS (Administration) 2015_1.pdf
100,764,FINANCE (NO. 2) ACT 2014,24/12/2014,30/12/2014,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/776_BI/ACT 764.pdf
100,763,YAYASAN GURU TUN HUSSEIN ONN ACT 2014,18/07/2014,25/07/2014,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20140725_763_BI_WJW002846 BI.pdf
100,762,GOODS AND SERVICES TAX ACT 2014,09/06/2014,19/06/2014,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20140619_762_BI_ACT 762.pdf
100,761,FINANCE ACT 2014,15/01/2014,23/01/2014,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/773_BI/ACT 761.pdf
100,760,FEES (DEPARTMENT OF MUSEUMS MALAYSIA) (VALIDATION) ACT 2014,31/12/2013,10/01/2014,01/11/2014,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20140110_AKTA 760-BI.pdf
100,759,ISLAMIC FINANCIAL SERVICES ACT 2013,18/03/2013,22/03/2013,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20130322_759_BI_Combined.pdf
100,758,FINANCIAL SERVICES ACT 2013,18/03/2013,22/03/2013,17/02/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20130322_758_BI_ACT 758.pdf
100,757,STRATA MANAGEMENT ACT 2013,05/02/2013,08/02/2013,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20130208_757_BI_AKTA 757-BI.pdf
100,756,TRADITIONAL AND COMPLEMENTARY MEDICINE ACT 2013,05/02/2013,08/02/2013,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20160310_PW5450.pdf
100,755,FINANCE ACT 2013,27/12/2012,10/01/2013,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/767_BI/ACT 755.pdf
100,754,INTERNATIONAL TRANSFER OF PRISONERS ACT 2012,20/12/2012,26/12/2012,21/02/2013,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/766_BI/Act754y2012.pdf
100,753,MINIMUM RETIREMENT AGE ACT 2012,05/08/2012,16/08/2012,01/07/2013,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120816_AKTA 753_BI_JW002810 BI-MINIMUM RETIREMENT AGE ACT 2012.pdf
100,752,MALAYSIA VOLUNTEERS CORPS ACT 2012,22/06/2012,25/06/2012,22/06/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120625_752_BI_JW002564 Act 752 BI.pdf
100,751,RUKUN TETANGGA ACT 2012,18/06/2012,22/06/2012,22/06/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120622_751_BI_Act 751 BI.pdf
100,750,TERRITORIAL SEA ACT 2012,18/06/2012,22/06/2012,22/06/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120622_750_BI_Act 750 BI.pdf
100,749,MEDIATION ACT 2012,18/06/2012,22/06/2012,01/08/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120622_749_BI_Act 749 BI.pdf
100,748,MALAYSIAN INSTITUTE OF ROAD SAFETY RESEARCH ACT 2012,18/06/2012,22/06/2012,15/07/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120622_748_BI_Act 748 BI.pdf
100,747,SECURITY OFFENCES (SPECIAL MEASURES) ACT 2012,18/06/2012,22/06/2012,31/07/2012,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20120622_747_BI_Act 747 BI.pdf
